N.LA,N.UNK,N.Grp3A,N.Grp3B,N.Grp2A,N.Grp2B,N.Grp4,N.Grp1,N.Grp5,migNat,migGrp3,migGrp2,bottleneckSeverity,T.UNK,T.Grp3A,T.Grp3B,T.Grp2A,T.Grp4,T.Grp2B,T.Grp1,T.Grp5,est.N.LA,est.N.UNK,est.N.Grp3A,est.N.Grp3B,est.N.Grp2A,est.N.Grp2B,est.N.Grp4,est.N.Grp1,est.N.Grp5,est.migNat,est.migGrp3,est.migGrp2,est.bottleneckSeverity,est.T.UNK,est.T.Grp3A,est.T.Grp3B,est.T.Grp2A,est.T.Grp4,est.T.Grp2B,est.T.Grp1,est.T.Grp5,lowHPD.N.LA,lowHPD.N.UNK,lowHPD.N.Grp3A,lowHPD.N.Grp3B,lowHPD.N.Grp2A,lowHPD.N.Grp2B,lowHPD.N.Grp4,lowHPD.N.Grp1,lowHPD.N.Grp5,lowHPD.migNat,lowHPD.migGrp3,lowHPD.migGrp2,lowHPD.bottleneckSeverity,lowHPD.T.UNK,lowHPD.T.Grp3A,lowHPD.T.Grp3B,lowHPD.T.Grp2A,lowHPD.T.Grp4,lowHPD.T.Grp2B,lowHPD.T.Grp1,lowHPD.T.Grp5,highHPD.N.LA,highHPD.N.UNK,highHPD.N.Grp3A,highHPD.N.Grp3B,highHPD.N.Grp2A,highHPD.N.Grp2B,highHPD.N.Grp4,highHPD.N.Grp1,highHPD.N.Grp5,highHPD.migNat,highHPD.migGrp3,highHPD.migGrp2,highHPD.bottleneckSeverity,highHPD.T.UNK,highHPD.T.Grp3A,highHPD.T.Grp3B,highHPD.T.Grp2A,highHPD.T.Grp4,highHPD.T.Grp2B,highHPD.T.Grp1,highHPD.T.Grp5
498,808,754,107,1188,70,447,28,787,0.0452,0.0027,1e-04,0.015,4827,18,13,6,7,6,46,32,905.916792655019,807.44978454723,403.28667287984,40.9712656896418,411.006442216685,56.653047938637,298.564511390129,49.0687707115253,384.35532529337,0.0303160200558384,0.000900665037049066,0.00105574237220768,0.0259859972793038,3030.97662826783,22.6929494690743,9.86070337480048,9.62545674219911,9.90427523745013,4.99747418161479,26.5553896996939,10.8472445773834,115.319708416938,111.060962416508,33.9515179744808,10.9923046478753,24.1836626204947,11.005940775163,14.575084343637,11.0249670326862,16.8512447613288,0.011132185721012,0.000183871451650563,0.000192962753381897,0.00208993833453226,1099.9583172144,2.98973629288138,2.94147707002408,2.92050062628888,2.95899886555586,2.87705997761197,3.23081221629988,2.95770182299658,8677.41602255843,8820.19881187111,1796.34460819057,968.478483244844,1857.93429281603,1348.67697366196,1834.2303394274,1198.16945594303,1864.99487048187,0.049109668067885,0.00888828267364027,0.00895765046431051,0.210510570268357,4882.54685691941,48.8237770706407,38.8560392910554,37.2523692706753,37.922164373536,26.9845143557416,48.6740332741468,37.8455131406103
147,188,26,60,35,11,45,15,78,0.0241,0.0036,6e-04,0.014,3966,43,36,9,34,2,18,9,538.167834817451,1110.66725598579,79,134.000622467511,163,145.661173231773,150.998982689354,92.7211655801849,493,0.0294,0.00100019133807091,0.001,0.0200637585651232,2985.93578983646,26.8878054651756,11,11.0040766047336,11,5.00101224805583,29,13,108,114.041009197148,11.006354068023,11.0010129015787,11.997500817654,11.9946294516346,11.9991813013495,11.0024957951,24.6410178240307,0.0109,2e-04,0.000199869202075792,0.002,1097.99456301127,4,2.99929409220926,3,2.9980528878847,2.99265850357755,3.01155701820122,2.99988957144276,8302.49662689624,9069.76486501975,1453.8882359396,1719.18854298692,1742.47672055562,1766.40105650847,1723.42896622526,1562.62635016555,1880.1946140298,0.048996720738054,0.0088,0.00899939266652861,0.22374418568899,4894.99418479138,48.985856420834,39.8550788982815,39.8017098884147,39,28,49,41
5826,2255,103,188,134,1176,391,972,39,0.0479,4e-04,2e-04,0.174,1333,9,5,5,9,3,23,9,1545.36392268564,1209.84646654762,156.633129156366,171.150063921275,223.75798410722,184.931817623524,224.590178413774,555.164812429861,41.4862998580342,0.0304135687356892,0.0010099432060336,0.00111065907497089,0.0585703104347581,3046.75644789599,20.292810032743,8.83619033820091,7.96379316810186,8.91674395393002,4.64279115894771,26.2528215387909,11.9525521060996,122.662914924314,119.554113960834,14.4528415220705,12.7182984944197,13.0460043505118,12.1873432922446,13.1972829542723,24.8508684353249,10.9309077013144,0.0111600811919933,0.000194013244879018,0.000197795031922956,0.00429753987864602,1109.95757343245,3.13540724290227,2.85043840033389,2.87365994578104,2.89091074572476,2.91397428755276,3.0633212890493,2.91633087701029,9111.21415482311,9179.2431374857,1551.74570919629,1676.0290544816,1821.59537800468,1704.29976722428,1781.17659655356,1896.73420928051,1255.34862786125,0.0490748165698015,0.00902373832039147,0.00907522268769191,0.230614674808325,4909.73138551779,47.963695396136,36.1751059299977,35.8631252852096,36.4351255691209,22.9596207175421,48.8010590649831,39.5470493873803
129,5355,100,757,140,92,19,29,699,0.0258,2e-04,0.0093,0.189,1199,23,14,12,19,10,25,12,783.250395761646,909.928823663722,280.028478008574,432.309696217797,328.164453620976,265.187323532497,72.7481758040061,95.2159701155166,87.5649585143662,0.030360265892418,0.00111365099892748,0.00105712055338651,0.0539999996100375,3022.21104660396,24.0939835674889,10.9534622156587,9.5486126360787,11.0083960136214,4.99728063411351,26.8838650829122,11.9547134680048,109.742235025067,110.928102886051,18.134366411742,20.1573969142634,16.598901921395,13.3563383008727,11.0313198475785,11.1122634550595,11.0847580078572,0.0109353301482348,0.000197618193867052,0.000195636055039746,0.00263734094916164,1124.90061718193,3.0641723035231,2.9308421561609,2.94632563420882,2.91668654385087,2.93253860941765,3.07984198109869,3.00800740758111,8164.88178665988,8856.76253814215,1756.54424045456,1865.24792542707,1796.24680214608,1813.55623432565,1634.41991615715,1608.27572620881,1631.45875018097,0.0489935441920673,0.00887425915376784,0.00899006201955013,0.232774043076,4894.94318484441,48.6420514677618,40.0209376989701,36.3425430591976,38.8590996509126,25.4783264837922,48.9502040851235,39.6348600274724
512,2337,33,46,637,89,14,36,1256,0.0415,1e-04,7e-04,0.063,2882,48,45,23,4,14,23,7,419.094408263152,702.530583399676,60.5760966108212,131.097778511849,473.536540530925,130,144.703507613418,84.8088562736862,432,0.0302027029311672,0.000907745111339631,0.00103773037564256,0.0200083693001744,2934.28352278938,30.16730249864,12.9635274479989,14.3627372936974,12.7702200227385,6.94603919612804,27.2850269843067,11.6320843720725,106.464461073417,107.388991917847,11.3404096300842,11.0765801889372,24.0796763546368,11.1997036307384,11.9708244078593,10.980285276277,17.8360976655853,0.0111991523374797,0.000193948746016412,0.000200013486076595,0.00236106644006744,1085.99023993508,4.75244704977891,3.01041195357527,2.92197206405961,2.92953542185881,2.8001847063954,3.10156648457404,3.0041243324108,6892.10247642333,8792.50053612335,1069.02827015983,1672.98542037459,1874.53663482609,1708.34274926425,1785.06201895791,1523.98492249674,1860.6035765783,0.049286499290761,0.00868958547108346,0.0090307407871438,0.221145508499765,4902.89424119414,48.9062508494233,40.1436651006232,40.3875336676114,40.1524055213969,27.8943223426952,49.0013096851912,39.5855864683052
144,9435,253,699,295,1725,482,75,289,0.0394,0.0062,9e-04,0.232,1038,18,7,9,13,6,29,26,563.552571838047,779,271.615431277317,331.554704721838,69.0021630877868,146.19544959646,323.336341187797,130.736922296787,129.349494189241,0.0291985168484456,0.00109011457432878,0.0011048714624051,0.0344477581642338,3109.20835056936,26.9580344963543,11.091953625761,12.373083729545,11.1298778123342,5.79801617329987,27.1331738646712,11.9775998257039,107.957193822246,107.928325902137,21.0582065841434,17.7414794252042,11,11.0391379951982,15.4378350237036,11.7208865321484,11.1431646351283,0.0109118462898661,0.000197583310904181,0.000199891339538988,0.00216715957497046,1100.16306663015,3.95663313299849,2.8197028730089,2.92162760996304,2.83373954397669,2.85862982651279,3.69609599277193,2.98606450348358,7961.54720208248,9208.09176058915,1745.68654603787,1795.27540199082,1344.1781007017,1764.32018992748,1878.63834929066,1636.25907404107,1711.34057373368,0.0490128750608674,0.00900839152830887,0.00888232439714893,0.227683024694802,4889.23238649311,48.7292285086696,39.3463316710537,40.0523341582999,38.0872806589839,28.7104774474773,48.9994140980309,39.4010645327753
1532,1975,28,407,1471,17,73,52,15,0.0164,2e-04,0.0013,0.023,3748,43,5,13,13,9,24,14,1196.82366815853,1522.20533525594,85.7482965473723,118.487059647383,185.014694853711,144.002572273936,132.729825060157,87.0004574234956,59.9954126998441,0.0294651999775412,0.00100359844325311,0.000999131216733969,0.0048901337979626,2953.99267655358,24.8243144016548,10.7237783780588,10.2960131859477,10.6815588520221,5,26.1914396703656,11.059461993778,140.709726704938,119.624313966505,11.2162501868961,11.0614667904453,12.0768054711281,12.0259658007836,11.9831441101644,11.0422758523782,10.9942223198244,0.0109056787592723,0.000199822936091431,0.000199336145179259,0.00198778108216437,1075.10414730738,3.92345008402153,2.95937178534755,2.97196113606563,2.9621270609863,2.96625187147795,3.03484139790364,3.00651243657117,8377.9245440796,9027.17001538671,1116.33723518818,1675.48947857246,1774.74665868213,1742.98793070741,1731.91224462186,1465.65616852179,1263.02284720251,0.0488012050360169,0.00889045598402921,0.008906383599329,0.0700143484796536,4898.52704363668,48.941834732087,37.7163753647246,38.7518663074982,39.8064049391149,27.6101982370237,48.9976384856061,38.9476334927348
1049,4915,187,31,432,370,25,11,574,0.0234,0.0031,2e-04,0.003,1117,17,11,12,9,9,29,2,989.667739470053,843.330576612897,126.809226986922,31.8245461328281,322.107452633011,227.253858624447,207.152049633956,72.9356530900225,228.506068312051,0.0270132159550802,0.000797180430509616,0.00117232355018318,0.0161083126408719,2953.03393063235,25.6574592893342,11.5629366777862,9.99587726645926,11.2501662765751,5.15481779473917,25.4120044651201,11.3274371792181,114.43642259226,117.922395315693,15.1672815076634,10.919200047726,15.2046951209229,14.0961114673368,13.0688683343932,11.3963414652312,14.9527530785929,0.0106672801174354,0.00019084291604265,0.000209415650209446,0.00227572576449212,1065.32338248126,3.97905577569178,2.58984442698999,2.73843615430134,2.63483548196619,2.84588357105459,3.12079732963522,2.71651851923362,9193.83834544597,8399.81101111504,1137.73046760624,442.030182999852,1906.99662947227,1820.39492081394,1751.25697012092,1191.63926832845,1727.68548430855,0.0486916087160904,0.0080891017956641,0.00885578854795141,0.196783141839219,4906.90592650432,48.8266554611897,39.3377467401589,37.0279708980919,39.9263493290381,23.9258008014391,48.765176151307,40.0091188150298
438,1538,854,37,620,68,18,265,16,0.0107,5e-04,0.0034,0.013,4581,38,13,8,34,3,28,22,362.815986573397,479.030801652439,190.873058197947,108.70115723955,772.515490998779,110.822700802552,119.866804861647,105.806272878099,111.010083265905,0.0303714563437016,0.000999802584558118,0.00100528796784346,0.0171032259710108,2966.94549746401,31.7586755136185,12.8821658584163,17.7379766587252,13.2684433473334,8.08494832357883,25.9084053194551,10.9586463024003,104.978496748711,104.809795344719,13.7987397308812,11.0630638505262,50.3707435984262,11.0000512604778,10.9967035267307,11.048981601909,11.427126267893,0.0112839272075517,0.000198243622159129,0.000199667272948007,0.00207992638697758,1090.44981304236,3.90814375982871,2.98910240751739,3.030717612003,2.97767978172546,2.99584060374306,2.99649339795133,2.99019316391062,6673.07265369922,8363.27617678288,1750.85456627353,1657.17548852684,1919.29035623412,1656.61774207424,1702.33976151772,1699.81677656125,1607.33397322317,0.0492052256780697,0.00879614530762252,0.008896315169477,0.213673559248615,4904.8539441104,48.9829582761952,40.9797972598216,42.1837140666402,41.1200177210584,31.795648295172,48.9997473335835,39.6659449491528
405,1695,251,1064,1264,531,22,977,43,0.0377,0.002,1e-04,0.055,2435,32,17,19,24,15,12,5,437,779.982436541937,392.807907204386,121.602990694066,154.844027277343,149.788118019932,144.147348979084,127.197407645709,314.047156373556,0.0299754827394309,0.000993608869949207,0.00109910421107174,0.0243345679086467,2967.56088680923,27.7605116214759,12.056020978463,11.7934851925964,11.8212536974892,5.6942590490429,27.8930809658957,12.0052491821252,106.797840696335,108.688517091933,25.3506579963369,11.9238229029804,12.1546465239032,11.8901975587689,11.6055282956943,11.4390764330494,16.4529273238684,0.011129113007425,0.000193037381632198,0.000196268815833861,0.00210832164720647,1096.5295428444,4.00145593132517,2.87547640698785,2.89107278442414,2.91787724192312,2.86679970248804,2.96739809637982,2.99014748457446,7537.32485561254,8987.09526266162,1842.33926327828,1662.70320676499,1666.95902425863,1740.02475943602,1716.67972330391,1658.60369431458,1796.45776214984,0.0489162179161466,0.0090226080032428,0.00905333838996215,0.225323632152541,4897.24270379527,48.9440157787457,40.1493429341342,38.9929696051907,39.6357342365011,26.9219270657374,49.0959707100309,40.760764739317
