Waterbody,Ap_F,Ap_M,Ar_F,Ar_M,Ho_F,Ho_M,He_F,He_M,Fis_F,Fis_M
Apt1,159,52,1.244,1.247,0.081,0.082,0.089,0.088,0.074,0.066
Apt2,0,0,NA,NA,0.06,0.062,0.051,0.069,NA,0.061
Apt3,0,4,NA,NA,0.075,0.07,NA,0.077,NA,0.051
WestGC1,1,3,1.098,1.1,0.028,0.031,0.031,0.032,0.06,0.04
WestGC2,1,0,1.103,1.1,0.029,0.029,0.033,0.032,0.068,0.04
WestGC6,1,3,1.147,1.122,0.036,0.036,0.039,0.039,0.037,0.045
Hotel1,0,2,1.045,1.046,0.016,0.017,0.018,0.018,0.094,0.066
Hotel2,0,0,NA,1.049,0.016,0.016,0.016,0.016,-0.033,0.017
Hotel3,0,0,1.049,1.046,0.016,0.016,0.018,0.018,0.072,0.102
Hotel4,0,0,1.044,1.045,0.016,0.016,0.016,0.017,0.008,0.037
EastGC1,1,0,1.213,NA,0.032,0.03,0.034,0.031,0.029,NA
EastGC7,0,1,1.105,1.107,0.03,0.027,0.032,0.03,0.053,0.064
EastGC10,0,2,1.088,1.074,0.024,0.021,0.027,0.024,0.112,0.086
EastGC11,0,1,1.083,1.088,0.027,0.025,0.027,0.029,0.019,0.122
EastGC13,1,1,1.101,1.092,0.03,0.031,0.032,0.031,0.04,0.003
EastGC2,0,0,1.085,1.083,0.027,0.025,0.028,0.028,0.046,0.088
EastGC3,0,0,NA,NA,0.028,0.03,0.031,0.029,0.047,-0.06
EastGC4,1,0,1.084,1.086,0.027,0.027,0.028,0.028,0.043,0.04
Private1,29,32,1.072,1.068,0.03,0.028,0.028,0.028,-0.085,0.001
Drain1,667,607,1.534,1.528,0.148,0.146,0.162,0.16,0.067,0.06
