"Group","Waterbody","N","FIS","t","DF","P_value"
1,"Apt1",24,0.079,6.055,378,3.39416974115513e-09
1,"Apt2",6,0.095,3.466,217,0.000636084763327162
1,"Apt3",6,0.038,1.626,269,0.105113896368332
2,"WestGC1",69,0.052,4.181,200,4.3338643498184e-05
2,"WestGC2",33,0.056,3.828,193,0.000174643261816143
2,"WestGC6",18,0.049,3.018,205,0.00287080473585204
2,"Hotel1",108,0.076,3.717,81,0.000370107709034914
2,"Hotel2",11,0.003,0.084,58,0.933038408709857
2,"Hotel3",27,0.08,3.317,78,0.00138273662139568
2,"Hotel4",30,0.029,1.191,76,0.237372174460394
3,"EastGC1",8,0.042,1.601,138,0.111686107655648
3,"EastGC7",28,0.058,3.688,199,0.000291922317603477
3,"EastGC10",33,0.1,5.252,162,4.66793501265031e-07
3,"EastGC11",27,0.073,3.607,156,0.000416827348694959
3,"EastGC13",35,0.033,2.084,198,0.0384277186760918
3,"EastGC2",69,0.064,4.561,167,9.82644686878418e-06
3,"EastGC3",9,0.027,0.896,130,0.372062117132486
3,"EastGC4",51,0.042,2.877,162,0.00455849244416599
4,"Private1",25,-0.017,-0.816,99,0.416472260598828
5,"Drain1",36,0.07,10.002,950,1.83503413142247e-22
